Player,Predicted Points,Position,Team,Play Probability,Opponent Team,Price,At_Home,Season,Minutes,GW,FirstName
Edouard Mendy,5.760044,GK,Chelsea,1,Brighton and Hove Albion,5.2,TRUE,2021,90,32,Mendy
Hugo Lloris,5.5488267,GK,Tottenham Hotspur,1,Southampton,5.6,TRUE,2021,90,32,Lloris
Lukasz Fabianski,5.3032446,GK,West Ham United,1,Newcastle United,5,FALSE,2021,90,32,Fabianski
Dean Henderson,4.9404426,GK,Manchester United,1,Burnley,5.2,TRUE,2021,90,32,Henderson
Hugo Lloris,4.608258,GK,Tottenham Hotspur,1,Everton,5.6,FALSE,2021,90,32,Lloris
Sam Johnstone,4.5684147,GK,West Bromwich Albion,1,Leicester City,4.5,FALSE,2021,90,32,Johnstone
Rui Pedro dos Santos Patricio,4.3323646,GK,Wolverhampton Wanderers,1,Sheffield United,5.3,TRUE,2021,90,32,PatrÃ­cio
Emiliano Martinez,4.3323646,GK,Aston Villa,1,Manchester City,5.4,TRUE,2021,90,32,MartÃ­nez
Martin Dubravka,4.1393948,GK,Newcastle United,1,West Ham United,4.8,TRUE,2021,90,32,Dubravka
Robert Sanchez,4.091725,GK,Brighton and Hove Albion,1,Chelsea,4.5,FALSE,2021,90,32,SÃ¡nchez
Alisson Ramses Becker,3.9579227,GK,Liverpool,1,Leeds,5.9,FALSE,2021,90,32,Alisson
Robin Olsen,3.9437988,GK,Everton,1,Tottenham Hotspur,4.5,TRUE,2021,90,32,Olsen
Illan Meslier,3.8704708,GK,Leeds,1,Liverpool,4.7,TRUE,2021,90,32,Meslier
Jordan Pickford,3.7683496,GK,Everton,1,Tottenham Hotspur,4.8,TRUE,2021,66,32,Pickford
Ederson Santana de Moraes,3.5706182,GK,Manchester City,1,Aston Villa,6.1,FALSE,2021,90,32,Ederson
Aaron Ramsdale,3.525552,GK,Sheffield United,1,Wolverhampton Wanderers,4.6,FALSE,2021,90,32,Ramsdale
Bernd Leno,3.0843396,GK,Arsenal,1,Fulham,5,TRUE,2021,90,32,Leno
Alphonse Areola,2.5337915,GK,Fulham,1,Arsenal,4.6,FALSE,2021,90,32,Areola
Kasper Schmeichel,1.52826,GK,Leicester City,1,West Bromwich Albion,5.4,TRUE,2021,90,32,Schmeichel
Alex McCarthy,1.027021,GK,Southampton,1,Tottenham Hotspur,4.4,FALSE,2021,18,32,McCarthy
Bailey Peacock-Farrell,0.9838639,GK,Burnley,1,Manchester United,4,FALSE,2021,22.5,32,Peacock-Farrell
Fraser Forster,0.8574761,GK,Southampton,1,Tottenham Hotspur,4,FALSE,2021,72,32,Forster
Nick Pope,0.58925796,GK,Burnley,0.75,Manchester United,5.5,FALSE,2021,50.625,32,Pope
Mathew Ryan,0.43827212,GK,Arsenal,1,Fulham,4.2,TRUE,2021,0,32,Ryan
Kepa Arrizabalaga,0.20935816,GK,Chelsea,1,Brighton and Hove Albion,4.7,TRUE,2021,0,32,Arrizabalaga
Karl Darlow,0.08338468,GK,Newcastle United,1,West Ham United,4.9,TRUE,2021,0,32,Darlow
Willy Caballero,0.025448108,GK,Chelsea,1,Brighton and Hove Albion,4.6,TRUE,2021,0,32,Caballero
Lee Grant,0.025448108,GK,Manchester United,1,Burnley,4,TRUE,2021,0,32,Grant
Joe Hart,0.019968485,GK,Tottenham Hotspur,1,Southampton,4.2,TRUE,2021,0,32,Hart
Sergio Romero,0.01913762,GK,Manchester United,0,Burnley,4.9,TRUE,2021,0,32,Romero
Jed Steer,0.01913762,GK,Aston Villa,1,Manchester City,3.9,TRUE,2021,0,32,Steer
John Ruddy,0.01913762,GK,Wolverhampton Wanderers,1,Sheffield United,4.3,TRUE,2021,0.25,32,Ruddy
Kamil Miazek,0.014968167,GK,Leeds,0,Liverpool,4,TRUE,2021,0,32,Miazek
Andreas SÃ¶ndergaard,0.014968167,GK,Wolverhampton Wanderers,1,Sheffield United,4,TRUE,2021,0,32,SÃ¶ndergaard
Ã˜rjan Nyland,0.014968167,GK,Aston Villa,0,Manchester City,4,TRUE,2021,0,32,Nyland
Matt Macey,0.014968167,GK,Arsenal,0,Fulham,4,TRUE,2021,0,32,Macey
Runnar Alex Runnarsson,0.014968167,GK,Arsenal,1,Fulham,4.4,TRUE,2021,0,32,RÃºnarsson
Francisco Casilla Cortouis,0.014968167,GK,Leeds,1,Liverpool,4.2,TRUE,2021,0,32,Casilla
Paulo Gazzaniga,0.014968167,GK,Tottenham Hotspur,0,Southampton,4.3,TRUE,2021,0,32,Gazzaniga
Jonas Lossl,0.014968167,GK,Everton,0,Tottenham Hotspur,4.3,TRUE,2021,0,32,LÃ¶ssl
Danny Ward,0.014968167,GK,Leicester City,1,West Bromwich Albion,4.3,TRUE,2021,0,32,Ward
Matija Sarkic,0.014968167,GK,Wolverhampton Wanderers,0,Sheffield United,4.4,TRUE,2021,0,32,Sarkic
Daniel Langley,0.014968167,GK,Newcastle United,1,West Ham United,3.9,TRUE,2021,0,32,Langley
Harry Tyrer,0.014968167,GK,Everton,1,Tottenham Hotspur,4,TRUE,2021,0,32,Tyrer
Mark Gillespie,0.014968167,GK,Newcastle United,1,West Ham United,4.3,TRUE,2021,0,32,Gillespie
Karlo Ziger,0.014968167,GK,Chelsea,1,Brighton and Hove Albion,4,TRUE,2021,0,32,Ziger
Nathan Bishop,0.014968167,GK,Manchester United,1,Burnley,4,TRUE,2021,0,32,Bishop
Elia Caprile,0.014968167,GK,Leeds,1,Liverpool,4,TRUE,2021,0,32,Caprile
Tom Heaton,0.010383477,GK,Aston Villa,1,Manchester City,4.5,TRUE,2021,0,32,Heaton
Claudio Bravo,-0.00493132,GK,Manchester City,0,Aston Villa,4.5,FALSE,2021,0,32,Bravo
Joe Hart,-0.0057779,GK,Tottenham Hotspur,1,Everton,4.2,FALSE,2021,0,32,Hart
Will Norris,-0.006608768,GK,Burnley,1,Manchester United,4,FALSE,2021,0,32,Norris
Andy Lonergan,-0.010778227,GK,West Bromwich Albion,1,Leicester City,4,FALSE,2021,0,32,Lonergan
Wes Foderingham,-0.010778227,GK,Sheffield United,1,Wolverhampton Wanderers,4.3,FALSE,2021,0,32,Foderingham
Jakub Ojrzynski,-0.010778227,GK,Liverpool,1,Leeds,4,FALSE,2021,0,32,Ojrzynski
Nathan Trott,-0.010778227,GK,West Ham United,1,Newcastle United,4,FALSE,2021,0,32,Trott
Liam Hughes,-0.010778227,GK,Liverpool,1,Leeds,4,FALSE,2021,0,32,Hughes
David Martin,-0.010778227,GK,West Ham United,1,Newcastle United,3.9,FALSE,2021,0,32,Martin
Adrian San Miguel del Castillo,-0.010778227,GK,Liverpool,1,Leeds,4.2,FALSE,2021,0,32,AdriÃ¡n
Michael Verrips,-0.010778227,GK,Sheffield United,0,Wolverhampton Wanderers,4,FALSE,2021,0,32,Verrips
Paulo Gazzaniga,-0.010778227,GK,Tottenham Hotspur,0,Everton,4.3,FALSE,2021,0,32,Gazzaniga
Harry Lewis,-0.010778227,GK,Southampton,1,Tottenham Hotspur,4,FALSE,2021,0,32,Lewis
Thomas McGill,-0.010778227,GK,Brighton and Hove Albion,1,Chelsea,3.9,FALSE,2021,0,32,McGill
Jason Steele,-0.010778227,GK,Brighton and Hove Albion,1,Chelsea,3.9,FALSE,2021,0,32,Steele
Christian Walton,-0.010778227,GK,Brighton and Hove Albion,1,Chelsea,4,FALSE,2021,0,32,Walton
Scott Carson,-0.010778227,GK,Manchester City,1,Aston Villa,3.9,FALSE,2021,0,32,Carson
James Trafford,-0.010778227,GK,Manchester City,1,Aston Villa,4,FALSE,2021,0,32,Trafford
Marek RodÃ¡k,-0.010778227,GK,Fulham,0.25,Arsenal,4.3,FALSE,2021,0,32,RodÃ¡k
Fabricio Agosto RamÃ­rez,-0.010778227,GK,Fulham,1,Arsenal,3.9,FALSE,2021,0,32,Fabri
Simon Moore,-0.015411267,GK,Sheffield United,0,Wolverhampton Wanderers,4.3,FALSE,2021,0,32,Moore
Roberto Jimenez Gago,-0.015411267,GK,West Ham United,0,Newcastle United,4.5,FALSE,2021,0,32,Roberto
Marcus Bettinelli,-0.015411267,GK,Fulham,0,Arsenal,4.3,FALSE,2021,0,32,Bettinelli
Zack Steffen,-0.015411267,GK,Manchester City,1,Aston Villa,4.4,FALSE,2021,0,32,Steffen
Angus Gunn,-0.016257847,GK,Southampton,0,Tottenham Hotspur,4.3,FALSE,2021,0,32,Gunn
David Button,-0.016257847,GK,West Bromwich Albion,1,Leicester City,3.9,FALSE,2021,0,32,Button
Darren Randolph,-0.11375682,GK,West Ham United,0.25,Newcastle United,4.3,FALSE,2021,0,32,Randolph
Caoimhin Kelleher,-0.28328788,GK,Liverpool,0,Leeds,4.5,FALSE,2021,0,32,Kelleher
David de Gea,-0.58729833,GK,Manchester United,1,Burnley,5.3,TRUE,2021,0,32,de Gea
JoÃ£o VirgÃ­nia,-0.7426664,GK,Everton,1,Tottenham Hotspur,4.3,TRUE,2021,11.75,32,VirgÃ­nia
Trent Alexander-Arnold,5.3236175,DEF,Liverpool,1,Leeds,7.4,FALSE,2021,71,32,Alexander-Arnold
Matt Targett,4.9756207,DEF,Aston Villa,1,Manchester City,5,TRUE,2021,90,32,Targett
Stuart Dallas,4.8966627,DEF,Leeds,1,Liverpool,5.1,TRUE,2021,90,32,Dallas
Matthew Cash,4.85883,DEF,Aston Villa,1,Manchester City,5,TRUE,2021,67.5,32,Cash
Ola Aina,4.7968597,DEF,Fulham,1,Arsenal,4.5,FALSE,2021,84.8,32,Aina
Timothy Castagne,4.679849,DEF,Leicester City,1,West Bromwich Albion,5.7,TRUE,2021,90,32,Castagne
Aaron Wan-Bissaka,4.6040735,DEF,Manchester United,1,Burnley,5.7,TRUE,2021,90,32,Wan-Bissaka
Paul Dummett,4.5736556,DEF,Newcastle United,1,West Ham United,4.4,TRUE,2021,90,32,Dummett
Lucas Digne,4.462152,DEF,Everton,1,Tottenham Hotspur,6.2,TRUE,2021,90,32,Digne
Matthew Lowton,4.4573107,DEF,Burnley,1,Manchester United,4.4,FALSE,2021,90,32,Lowton
Luke Shaw,4.4071,DEF,Manchester United,1,Burnley,5.3,TRUE,2021,90,32,Shaw
Ezri Konsa Ngoyo,4.4055557,DEF,Aston Villa,1,Manchester City,4.7,TRUE,2021,90,32,Konsa
Ryan Bertrand,4.3903227,DEF,Southampton,1,Tottenham Hotspur,5,FALSE,2021,90,32,Bertrand
Ricardo Domingos Barbosa Pereira,4.3878236,DEF,Leicester City,1,West Bromwich Albion,5.9,TRUE,2021,61,32,Pereira
Jonny Evans,4.351477,DEF,Leicester City,1,West Bromwich Albion,5.5,TRUE,2021,90,32,Evans
Michael Keane,4.0753703,DEF,Everton,1,Tottenham Hotspur,5.1,TRUE,2021,90,32,Keane
Lewis Dunk,3.9522104,DEF,Brighton and Hove Albion,1,Chelsea,5,FALSE,2021,90,32,Dunk
CÃ©sar Azpilicueta,3.8108218,DEF,Chelsea,1,Brighton and Hove Albion,5.9,TRUE,2021,90,32,Azpilicueta
Victor LindelÃ¶f,3.8108218,DEF,Manchester United,1,Burnley,4.8,TRUE,2021,90,32,LindelÃ¶f
Romain SaÃ¯ss,3.8108218,DEF,Wolverhampton Wanderers,1,Sheffield United,4.9,TRUE,2021,90,32,SaÃ¯ss
NÃ©lson Cabral Semedo,3.8108218,DEF,Wolverhampton Wanderers,1,Sheffield United,5.2,TRUE,2021,88.25,32,Semedo
Luke Ayling,3.756933,DEF,Leeds,1,Liverpool,4.4,TRUE,2021,90,32,Ayling
Tyrone Mings,3.699497,DEF,Aston Villa,1,Manchester City,5.4,TRUE,2021,90,32,Mings
Jan Bednarek,3.6979964,DEF,Southampton,1,Tottenham Hotspur,4.8,FALSE,2021,90,32,Bednarek
Kurt Zouma,3.666445,DEF,Chelsea,1,Brighton and Hove Albion,5.3,TRUE,2021,67.5,32,Zouma
Kyle Walker-Peters,3.605124,DEF,Southampton,1,Tottenham Hotspur,4.7,FALSE,2021,90,32,Walker-Peters
Seamus Coleman,3.578821,DEF,Everton,1,Tottenham Hotspur,4.8,TRUE,2021,60.66666667,32,Coleman
Ciaran Clark,3.4835815,DEF,Newcastle United,1,West Ham United,4.5,TRUE,2021,72,32,Clark
Harry Maguire,3.461365,DEF,Manchester United,1,Burnley,5.5,TRUE,2021,90,32,Maguire
Ben Mee,3.3929753,DEF,Burnley,1,Manchester United,4.9,FALSE,2021,90,32,Mee
Conor Townsend,3.3888469,DEF,West Bromwich Albion,1,Leicester City,4.4,FALSE,2021,90,32,Townsend
Jannik Vestergaard,3.3818865,DEF,Southampton,1,Tottenham Hotspur,4.7,FALSE,2021,90,32,Vestergaard
James Tarkowski,3.323071,DEF,Burnley,1,Manchester United,5.3,FALSE,2021,90,32,Tarkowski
Conor Coady,3.2811837,DEF,Wolverhampton Wanderers,1,Sheffield United,4.9,TRUE,2021,90,32,Coady
Ezgjan Alioski,3.2747104,DEF,Leeds,1,Liverpool,4.3,TRUE,2021,81,32,Alioski
Diego Llorente,3.2740235,DEF,Leeds,1,Liverpool,4.4,TRUE,2021,90,32,Llorente
Wesley Fofana,3.1851046,DEF,Leicester City,1,West Bromwich Albion,5,TRUE,2021,90,32,Fofana
Davinson SÃ¡nchez,3.1360264,DEF,Tottenham Hotspur,1,Southampton,5.2,TRUE,2021,72,32,SÃ¡nchez
Ben White,3.0344934,DEF,Brighton and Hove Albion,1,Chelsea,4.5,FALSE,2021,90,32,White
Arthur Masuaku,3.0217311,DEF,West Ham United,1,Newcastle United,4.3,FALSE,2021,90,32,Masuaku
John Egan,3.0149448,DEF,Sheffield United,1,Wolverhampton Wanderers,4.7,FALSE,2021,90,32,Egan
Joachim Andersen,2.865894,DEF,Fulham,1,Arsenal,4.5,FALSE,2021,90,32,Andersen
Mason Holgate,2.8275898,DEF,Everton,1,Tottenham Hotspur,4.8,TRUE,2021,85.5,32,Holgate
Sergio ReguilÃ³n,2.820959,DEF,Tottenham Hotspur,1,Southampton,5.5,TRUE,2021,83.2,32,ReguilÃ³n
Ainsley Maitland-Niles,2.8162367,DEF,West Bromwich Albion,0.75,Leicester City,4.6,FALSE,2021,67.5,32,Maitland-Niles
Vladimir Coufal,2.740953,DEF,West Ham United,1,Newcastle United,4.6,FALSE,2021,90,32,Coufal
Enda Stevens,2.7015486,DEF,Sheffield United,1,Wolverhampton Wanderers,5,FALSE,2021,90,32,Stevens
Kyle Bartley,2.6623824,DEF,West Bromwich Albion,0.75,Leicester City,4.4,FALSE,2021,66.375,32,Bartley
Issa Diop,2.6590993,DEF,West Ham United,1,Newcastle United,4.3,FALSE,2021,90,32,Diop
Ben Godfrey,2.6559443,DEF,Everton,1,Tottenham Hotspur,5,TRUE,2021,90,32,Godfrey
Ethan Ampadu,2.6031687,DEF,Sheffield United,1,Wolverhampton Wanderers,4.3,FALSE,2021,78.75,32,Ampadu
Darnell Furlong,2.5790396,DEF,West Bromwich Albion,1,Leicester City,4.5,FALSE,2021,90,32,Furlong
Davinson SÃ¡nchez,2.4497266,DEF,Tottenham Hotspur,1,Everton,5.2,FALSE,2021,72,32,SÃ¡nchez
Nathaniel Phillips,2.4191854,DEF,Liverpool,1,Leeds,4.1,FALSE,2021,90,32,Phillips
Calum Chambers,2.378559,DEF,Arsenal,1,Fulham,4.5,TRUE,2021,72,32,Chambers
Fernando Luiz Rosa,2.3583844,DEF,Manchester City,1,Aston Villa,5.4,FALSE,2021,58.6,32,Fernandinho
Craig Dawson,2.3328419,DEF,West Ham United,1,Newcastle United,4.5,FALSE,2021,90,32,Dawson
JoÃ«l Veltman,2.3319654,DEF,Brighton and Hove Albion,1,Chelsea,4.4,FALSE,2021,90,32,Veltman
Tosin Adarabioyo,2.006031,DEF,Fulham,1,Arsenal,4.5,FALSE,2021,72,32,Adarabioyo
Aaron Cresswell,1.9833049,DEF,West Ham United,0.75,Newcastle United,5.9,FALSE,2021,61.8,32,Cresswell
Ozan Kabak,1.8735472,DEF,Liverpool,1,Leeds,5,FALSE,2021,85.5,32,Kabak
Marcos Alonso,1.8267361,DEF,Chelsea,1,Brighton and Hove Albion,5.7,TRUE,2021,45,32,Alonso
Pascal Struijk,1.7683071,DEF,Leeds,1,Liverpool,4,TRUE,2021,33.75,32,Struijk
George Baldock,1.7360283,DEF,Sheffield United,1,Wolverhampton Wanderers,4.9,FALSE,2021,74.66666667,32,Baldock
Dara O'Shea,1.690951,DEF,West Bromwich Albion,1,Leicester City,4.2,FALSE,2021,67.66666667,32,O'Shea
Kenny Tete,1.6823215,DEF,Fulham,1,Arsenal,4.3,FALSE,2021,75.6,32,Tete
Antonee Robinson,1.5465726,DEF,Fulham,1,Arsenal,4.4,FALSE,2021,39.4,32,Robinson
Sergio ReguilÃ³n,1.5242805,DEF,Tottenham Hotspur,1,Everton,5.5,FALSE,2021,83.2,32,ReguilÃ³n
RÃºben Santos Gato Alves Dias,1.4764888,DEF,Manchester City,1,Aston Villa,6.2,FALSE,2021,68.8,32,Dias
Japhet Tanganga,1.4470825,DEF,Tottenham Hotspur,1,Southampton,4.9,TRUE,2021,36,32,Tanganga
Serge Aurier,1.4431261,DEF,Tottenham Hotspur,1,Southampton,5.2,TRUE,2021,22.5,32,Aurier
John Stones,1.4195963,DEF,Manchester City,1,Aston Villa,5.2,FALSE,2021,54,32,Stones
Toby Alderweireld,1.3971473,DEF,Tottenham Hotspur,1,Everton,5.4,FALSE,2021,36,32,Alderweireld
Rob Holding,1.393629,DEF,Arsenal,1,Fulham,4.2,TRUE,2021,36,32,Holding
Gabriel MagalhÃ£es,1.391821,DEF,Arsenal,1,Fulham,4.9,TRUE,2021,36,32,Gabriel
Rayan Ait Nouri,1.3863384,DEF,Wolverhampton Wanderers,1,Sheffield United,5,TRUE,2021,44.75,32,Ait Nouri
Matt Doherty,1.3405206,DEF,Tottenham Hotspur,0.25,Everton,5.6,FALSE,2021,15,32,Doherty
Benjamin Mendy,1.3308244,DEF,Manchester City,1,Aston Villa,5.9,FALSE,2021,52.4,32,Mendy
Emil Krafth,1.2887079,DEF,Newcastle United,1,West Ham United,4.2,TRUE,2021,40,32,Krafth
Japhet Tanganga,1.2868745,DEF,Tottenham Hotspur,1,Everton,4.9,FALSE,2021,36,32,Tanganga
Mohammed Salisu,1.2502934,DEF,Southampton,1,Tottenham Hotspur,4.3,FALSE,2021,20.2,32,Salisu
Kyle Walker,1.2101742,DEF,Manchester City,1,Aston Villa,6.1,FALSE,2021,41,32,Walker
Willy Boly,1.1979146,DEF,Wolverhampton Wanderers,0.75,Sheffield United,5.4,TRUE,2021,22.5,32,Boly
Thiago Thiago,1.0876889,DEF,Chelsea,1,Brighton and Hove Albion,5.6,TRUE,2021,28,32,Thiago Silva
Robin Koch,1.0610659,DEF,Leeds,1,Liverpool,4.3,TRUE,2021,9.666666667,32,Koch
CÃ©dric Soares,1.0589856,DEF,Arsenal,1,Fulham,4.6,TRUE,2021,27,32,CÃ©dric
Javier Manquillo,1.0352064,DEF,Newcastle United,1,West Ham United,4.2,TRUE,2021,26,32,Manquillo
Neco Williams,1.0350213,DEF,Liverpool,1,Leeds,3.8,FALSE,2021,18.75,32,Neco Williams
Aymeric Laporte,0.99935627,DEF,Manchester City,1,Aston Villa,6,FALSE,2021,54,32,Laporte
Oluwasemilogo Adesewo Ibidapo Ajayi,0.97436017,DEF,West Bromwich Albion,1,Leicester City,4.8,FALSE,2021,23.75,32,Ajayi
Benjamin Chilwell,0.9708739,DEF,Chelsea,1,Brighton and Hove Albion,5.8,TRUE,2021,45,32,Chilwell
Eric Dier,0.92597765,DEF,Tottenham Hotspur,1,Everton,4.6,FALSE,2021,18,32,Dier
Pablo MarÃ­,0.9235879,DEF,Arsenal,1,Fulham,4.4,TRUE,2021,54,32,MarÃ­
Joe Rodon,0.91482216,DEF,Tottenham Hotspur,1,Southampton,5,TRUE,2021,54,32,Rodon
Luke Thomas,0.9079652,DEF,Leicester City,1,West Bromwich Albion,4.1,TRUE,2021,11.25,32,Thomas
Terence Kongolo,0.900341,DEF,Fulham,1,Arsenal,4.3,FALSE,2021,18,32,Kongolo
